tag	chinese_name
CLI	采列
CLL	乔洛兰
CLM	科利马
CLP	奇拉帕
CLQ	科利克
CLR	克兰里卡德
CLT	卡拉
CMA	西康诺特
CMN	尚庞
CMR	卡梅里诺
CMS	凯迈斯
CNC	坎奇
CND	詹达尔
CNL	阿卡努尔
CNN	康诺特
CNT	卡伊安塔
CNV	卡纳韦塞
COC	科科姆
COG	草塘
COI	尤佐库
COM	科曼日
CON	科伊南
COT	科尔托纳
CPA	科帕
CPN	佐阿潘
CRA	查卡
CRK	楚鲁梅夸
CRL	乌尔岑
CRO	克罗地亚
CRR	菲纳莱
CRT	干地亚
CSM	科萨马洛阿潘
CSU	库斯科
CTC	科阿特利卡马克
CTE	奎采奥
CTL	奇尧特拉
CTM	查克特埃马尔
CTR	吉德拉尔
CTX	奎特拉斯特兰
CTZ	科亚特萨夸尔科
CUI	奎斯曼库
CUL	库尔瓦坎
CUO	夸赫托奇科
CUT	久蒂亚
CUU	库埃纳瓦卡
CUZ	库察马拉
CVN	东布雷夫讷
CWM	克兰威廉
CYA	萨查普库亚
CYP	塞浦路斯
CZK	切尔斯克
CZL	科萨拉潘
DAA	道拉
DAI	大越
DAJ	达朱
DAM	达莫特
DAN	丹麦
DAU	维埃努瓦
DAW	达瓦罗
DBD	檀婆提尼耶
DBE	多贝亚
DCI	迪希斯
DCN	东川
DEN	登比
DFN	贾富努
DGB	达格邦
DGE	都客儿
DGL	马尔代夫
DGR	婆迦尔
DHF	佐法尔
DHK	达赫拉克
DHM	达勒姆
DHU	敦达尔
DIE	迪茨
DIL	迪尔马奇
DIM	底马撒
DIS	迪森蒂斯
DIT	迪特马尔申
DJE	杰里德
DLH	德里
DLN	东兰
DMB	东博利‑博什特
DMI	德米特罗夫
DML	东博利
DMS	德斯蒙德
DNB	丁克尔斯比尔
DNG	董鄂
DOG	多格拉
DOM	栋普
DPH	迪普霍尔茨
DRE	德勒
DRG	德格
DRP	拉姆那迦
DRU	德鲁茨克
DRW	陀多瓦
DSN	达斯尼
DTI	多提
DTM	多特蒙德
DUL	杜尔卡迪尔
DUN	道恩
DWG	大王
DWS	代瓦西尔
DYG	都阳
DYN	都匀
DZH	底寨
DZK	杜尔祖克
EGL	埃伊尔
EIC	艾希施泰特
ELA	伊罗耶达都
ELL	埃尔旺根
ELY	伊莱
ENG	英格兰
ENN	恩纳雷亚
EPI	伊庇鲁斯
ERB	埃尔巴赫
ERE	埃雷特纳
ERF	埃尔福特
ERM	瓦尔米亚
ESS	埃森
ETA	埃唐普
ETH	埃塞俄比亚
ETZ	埃察特兰
EVR	埃夫勒
EVS	埃弗施泰因
EWY	尤亚斯
FAE	法恩扎
FAL	法勒
FBG	弗赖堡
FCB	弗朗什‑孔泰
FCL	菲斯卡尔
FDL	法德勒
FEO	狄奥多罗
FER	费拉拉
FLA	佛兰德
FLD	富尔达
FLK	法尔肯施泰因
FLO	佛罗伦萨
FLY	奥法利
FMA	弗马纳
FMB	福明‑别列祖斯克
FMN	富曼
FOI	富瓦
FRA	法兰西
FRE	弗赖辛
FRI	弗里西亚
FRM	费尔莫
FRN	法兰克福
FRT	费雷特
FRZ	福雷
FUR	菲尔斯滕贝格
FZA	费赞
FZH	富州
GAU	高尔
GAZ	加扎里亚
GBH	格鲁本哈根
GBS	加贝斯
GCH	夸乌奇南科
GDA	果达拉
GED	格迪
GEL	海尔雷
GEN	热那亚
GEO	格鲁吉亚
GFS	加夫萨
GGX	广西
GHA	加纳
GHL	格锡瓦德
GHR	加尔哈
GLA	格劳豪
GLH	朮赤
GLI	吉尔吉特
GLM	加利奇‑梅尔斯基
GLN	格莱兴
GLO	格沃古夫
GLS	格伦斯
GLU	高罗
GMG	格拉摩根
GMK	马克
GNG	珙
GNJ	贡觉
GNN	广南
GNV	日内瓦
GOA	果阿
GOB	戈比尔
GOL	果洛
GOR	戈里齐亚
GOS	戈斯拉尔
GOW	戈瓦
GRA	格拉纳达
GRF	格拉弗瑙
GRG	戈尔甘
GRK	古尔克
GRL	格陵兰
GRM	盖尔米扬
GRR	加罗钱巴
GRS	戈罗杰茨
GRT	哥伦打洛
GRY	格吕耶尔
GSW	居斯特罗
GUB	古比奥
GUG	古格
GUR	法达恩古尔马
GWA	瓜廖尔
GWI	圭里科
GWL	加瓦尔
GWR	高尔
GYE	嘉绒
GYO	加耶戈霍诺
GYT	建塘
GZH	古州
HAB	奥地利
HAC	哈赫贝格
HAD	哈多蒂
HAG	阿格诺
HAI	埃诺
HAL	哈利奇
HAM	汉堡
HAW	夏威夷
HBG	海因斯贝格
HBN	哈斯巴尼
HBR	海尔布隆
HBS	哈尔伯施塔特
HCH	瓦马丘科
HCI	哈吉埃米尔
HDA	哈达
HDH	希尔德斯海姆
HDN	哈丁
HDR	哈杜尔
HDY	哈迪亚
HEH	海登海姆
HEL	切尔
HES	黑森
HEZ	河州
HHB	霍恩贝格
HHP	双肃
HJN	忽剌温
HJZ	韦霍津戈
HKK	哈卡里
HKM	坎底
HKZ	北山
HLF	黑尔芬施泰因
HLG	旭烈兀
HLL	希拉
HMD	哈米德
HNA	哈瑙
HNB	亨讷贝格
HNE	浑河
HNK	哈南·昌卡
HNV	霍纳沃尔
HNY	哈斯努亚
HNZ	罕萨
HOH	霍亨索伦
HOI	辉发
HOL	荷兰
HOR	尔龚
HOX	科维
HOY	霍亚
HPL	荷尔斯泰因‑普伦
HQG	鹤庆
HRB	哈尔卜
HRC	瓦尔科
HRL	哈尔拉
HRN	霍恩
HSC	汉斯卡
HSE	兴威
HSF	黑斯费尔德
HSI	昔卜
HSL	霍伊萨拉
HSN	阿尤布
HSP	荷尔斯泰因‑平讷贝格
HST	特奥约特兰
HTN	霍京
HTR	荷尔斯泰因‑伦茨堡
HTY	哈图凯
HTZ	惠茨奎利克
HUL	胡里改
HUN	匈牙利
HUT	胡泰姆
HUX	瓦斯特佩克
HVB	哈弗尔贝格
HYC	韦亚科科特拉
HYM	伊瓦内
HYT	海图克
HZH	洪州
HZN	希赞
HZP	哈扎拉斯普
HZR	哈兹里
IAS	雅西
IBL	伊巴隆
ICE	冰岛
ICM	依其马
IDR	伊达尔
IFA	伊法特
IFE	伊费
IHB	伊斯帕巴德
IJB	伊杰布
IJE	伊杰罗
IJO	利勒茹尔丹
IJS	伊杰沙
IMA	伊马尔
IMO	伊莫拉
INA	亦难赤
INH	伊尼扬巴内
INI	因尼肖温
INJ	因贾
INO	伊诺弗罗茨瓦夫
INR	丁机宜
IRD	伊罗多
ISL	希尤巴克
ISO	伊塞多
ITZ	伊察
IVG	艾维
IXA	伊斯塔潘
IXL	伊斯特兰
IXT	伊斯塔卡马什蒂特兰
IYA	伊拉雅拉
IZC	伊斯塔查卡拉潘
IZO	伊佐坎
JAL	札剌亦儿
JAP	日本
JAW	亚沃尔
JBL	久巴尔
JEC	哲陈
JEV	耶弗尔
JFN	贾夫纳
JHI	乔希亚
JIZ	积石州
JJK	杰贾卡布克提
JKR	札兀尼·库尔班
JLM	乔勒马克
JLO	贾伊洛洛
JLR	贾洛尔
JLW	贾拉瓦德
JLY	札剌伊尔
JMB	末罗瑜
JNG	朱纳格利
JNT	贾因蒂亚
JOL	卓洛夫
JPO	嫩德布尔
JRN	贾林
JRW	贾尔万
JSI	建水
JSK	贾斯克
JSL	斋沙默尔
JUL	于利希
JUR	尤尔曼
JUS	朱舍里
JUX	尤佐奎亚
JWR	乔哈尔
KAB	卡布
KAI	凯塔格
KAL	格礼
KAM	凯马纳
KAN	卡诺
KAQ	卡克奇克尔
KAR	卡拉曼
KAS	卡申
KAU	考爱
KBD	库巴德
KBO	加奈姆
KBR	卡布拉
KCH	卡拉切夫
KCN	哈琴
KDA	卡巴尔达
KDU	帕金杰塔杜
KED	吉打
KEE	基纳特
KEL	克拉里
KER	齐亚
KET	凯图
KGR	坎格拉
KHF	哈夫
KHG	卡加
KHM	高棉
KHN	哈兰
KHR	克尔拉
KHS	卡萨
KHT	哈塔伊
KHU	洪季
KHZ	胡兹达尔
KIC	基切
KID	基尔代尔
KIE	基辅
KIL	基利斯
KIM	奇里曼
KIP	奇皮克
KIR	基希贝格
KIT	基塔拉
KJA	肯贾尔
KKA	卡尼恩凯哈卡
KKE	基利克
KKG	古泰‑卡塔内加拉
KKL	哈勒哈里
KKR	科赫罗
KLA	卡拉特
KLB	基拉卜
KLE	克莱沃
KLH	卡拉汉迪
KLI	格劳利
KLN	克林
KLR	卡尔霍尔
KLS	卡利苏苏
KLT	科拉舒纳德
KLU	古卢
KLW	戈尔瓦
KMA	卡玛塔
KML	古麻刺朗
KMM	卡明
KMN	库马翁
KMP	肯普滕
KNA	卡纳
KNG	孔
KNI	医院
KNK	甘盖尔
KNW	哥那威
KNZ	康斯坦茨
KOL	科隆
KOR	高丽
KOS	科斯特罗马
KOW	科沃伊
KPL	科普拉
KRD	卡拉斯
KRI	库拉尼
KRK	卡朗卡
KRM	克尔曼
KRP	固里班
KRT	库尔特
KSA	萨珊
KSH	克什米尔
KSW	吉什德瓦尔
KTG	景栋
KTL	库特勒哈尔
KTN	库塔纳德
KTS	卡齐纳
KTT	忽都
KTU	加德满都
KTW	卡尔塔维
KTZ	卡岑埃尔恩博根
KUR	库尔兰
KUS	库斯卡坦
KUT	卡奇
KYA	科塔亚姆
KYB	基堡
KZK	科泽利斯克
LAC	索茨莱布
LAM	拉穆
LAN	兰开斯特
LAU	萨克森‑劳恩堡
LAV	罗涡
LBB	吕贝卡
LBO	雷波
LBV	下巴伐利亚
LCA	科莫
LCK	霍什迪
LCU	卢塞恩
LCZ	文奇察
LDA	兰道
LDB	兰茨贝格
LEI	伦斯特
LEK	莱基亚
LEU	洛伊希滕贝格
LGC	莱格尼察
LGE	邻稽
LGK	狼牙修
LGQ	龙泉
LGT	灵藏
LGZ	龙州
LHJ	拉希詹
LHL	拉胡尔
LHN	拉海纳
LIC	利希滕贝格
LIE	列日
LIG	洛坤
LIM	林堡
LIN	来安
LIT	立陶宛
LIV	利沃尼亚
LJG	丽江
LLN	陆良
LLS	罗罗司
LMN	珞门
LNA	兰纳
LNG	梁
LNK	万那
LNN	莱宁根
LNO	拉瑙
LOI	群岛
LOL	洛洛达
LOO	洛恩
LOR	洛林
LPG	黎平
LPP	利珀
LRT	拉兰图卡
LSA	洛桑
LST	拉雷斯坦
LTN	理塘
LTU	烂土
LUB	吕贝克
LUC	卢卡
LUN	吕讷堡
LUP	卢皮哈基
LUR	劳尔
LUW	鲁乌
LUX	卢森堡
LWA	林布旺
LXG	罗雄
LZI	良寨
LZO	罗佐
MAB	马巴尔
MAC	边区
MAG	马格德堡
MAI	美因茨
MAJ	满者伯夷
MAK	马库里亚
MAL	马里
MAM	埃及
MAN	曼托瓦
MAO	毛怜
MAR	麻域
MAT	托洛坎
MAU	毛甘吉
MBA	蒙巴萨
MBD	马纳邦德罗
MBT	姆巴塔
MBZ	布雷根茨
MCC	米却阿潘科
MCI	木赤
MCM	芒斯特
MDA	麦地那
MDI	摩加迪沙
MDM	马桑
MDN	明登
MDS	曼德沙伊德
MDY	马迪亚斯
MEC	麦加
MED	梅德利巴赫里
MEI	迈森
MEM	梅明根
MEN	门泰谢
MET	梅茨蒂特兰
MEW	梅瓦尔
MFA	蒙费拉托
MFE	曼斯费尔德
MFK	费尔德基希
MGD	文都灵
MGG	芒隅贡塘
MGK	勐沽
MGN	勐恩
MGT	孟弥
MHA	勐沙
MHC	梅拉瓦坎
MHK	勐亨
MHL	玛希拉卡
MHN	勐甸
MHT	米亚瓦特兰
MHU	马湖
MIE	曼恩
MIH	米赫拉班
MIT	米蒂克
MIX	玉库扎
MJU	马尤布汉杰
MKA	孟拱
MKG	美功甲
MKL	梅克伦堡
MKN	孟昆
MKR	莫克兰
MKW	梅尔克万
MLB	刚莱博
MLE	弥勒
MLG	马龙
MLH	米尔豪森
MLI	马林迪
MLK	莫洛卡伊
MLL	马略卡
MLM	孟连
MLN	马利纳尔科
MLO	米兰
MLT	马拉卡托
MMA	孟卯
MMM	马姆
MNA	马尼拉
MND	蒙多维
MNI	孟乃
MNJ	曼绒
MNL	曼尕赖
MNN	马恩
MNU	梅拉瑙
MNZ	岷州
MOG	莫洛加
MOM	蒙博阿勒
MON	蒙福尔
MOO	摩洛
MOR	摩洛哥
MOS	莫斯科
MOU	穆宗
MOY	默里
MOZ	莫桑比克
MPE	马圭拉
MPR	曼普鲁古
MRB	梅泽堡
MRC	拉马什
MRH	穆拉
MRM	穆罗姆
MRN	莫罗内内
MRP	古泰‑摩多补罗
MRS	默尔斯
MRT	莫尔坦
MRV	梅尔夫
MRW	马尔瓦尔
MSB	莫斯巴赫
MSN	穆苏尼里
MSO	梅索科
MSP	马拉斯皮纳
MSV	姆斯季斯拉夫尔
MTA	马切拉塔
MTB	蒙贝利亚尔
MTG	勐汀
MTO	迈因蒂拉努
MTR	马特兰加
MTZ	梅斯
MUA	猛挝
MUI	毛伊
MUL	米卢斯
MUN	明斯特
MUR	米尔巴克
MUS	穆什
MUT	穆塔伊尔
MVA	摩拉维亚
MWO	勐沃
MXT	梅什蒂卡坎
MYA	孟养
MYI	麻逸
MYM	马永马尔卡
MYO	梅奧
MZB	姆扎卜
MZF	穆扎法尔
MZJ	马赞贾尼
MZK	穆扎卡
MZN	塔巴里斯坦
MZT	米赞特拉
NAG	那迦罗
NAM	那慕尔
NAP	那不勒斯
NAV	纳瓦拉
NAX	纳克索斯
NBH	西霍尔
NCN	囊谦
NDN	南丹
NEG	内格罗蓬特
NEL	内伦堡
NEO	新帕特里亚
NEU	纳沙泰尔
NEV	讷韦尔
NEY	讷殷
NGD	捏兀迭里
NGL	恩加利
NGZ	宁州
NHS	诺德豪森
NID	尼达
NIE	尼恩堡
NLG	安龙
NLU	纳楼
NMB	瑙姆堡
NMD	涅莫德林
NMS	纳梅斯武夫
NND	纽恩迪伊
NNN	安南
NOR	挪威
NOV	大诺夫哥罗德
NPG	綦江
NQS	纳吉斯
NRB	纳博讷
NRI	恩里
NRK	新格鲁多克
NRM	诺曼底
NRP	努尔布尔
NRS	讷尔辛格布尔
NSH	拿骚‑哈达马尔
NSI	拿骚‑伊德施泰因
NSL	诺沃西利
NSR	楠沙鲁奈
NSS	拿骚‑锡根
NSU	恩苏迪
NSW	拿骚‑魏尔堡
NTA	坎塔
NTL	马哈延伽
NUP	努佩
NUR	纽伦堡
NVS	诺夫哥罗德‑谢韦尔斯基
NWG	瑙加德
NWU	钮兀
NYA	娘绒
NYM	博埃尼
NYS	尼萨
NYZ	宁远州
NZH	下诺夫哥罗德
NZN	南山
OAH	瓦胡
OAP	奥阿潘
OBW	上瓦尔登
ODO	斡朵里
OEL	奥莱希尼察
OET	厄廷根
OFB	奥芬堡
OGL	瓦尔格拉
OHK	奥奎‑奥温格
OIL	奥里尔
OKE	奥凯伊拉
OLD	奥尔登堡
OMA	阿曼
OMT	奥梅特佩克
OND	翁多
ONN	奥农多瓦加
ONO	奥农达格加
ONW	乌尼瓦尔
ONY	奥尼奥塔阿卡
OPL	奥波莱
OPV	奥帕瓦
ORA	奥兰治
ORD	奥蒙德
ORE	奥列舍克
ORI	奥里萨
ORK	奥克尼
ORM	霍尔木兹
ORT	奥尔滕堡
OSN	奥斯纳布吕克
OSS	奥索里
OSW	奥斯威辛
OTA	奥塔蒂特兰
OTO	夏尔托坎
OUA	瓦加杜古
OWO	乌沃
OXT	奥斯特利潘
OYO	奥约
OZL	奥苏卢阿马
OZT	奥斯托曼
OZU	奥苏马钦
PAD	帕多瓦
PAH	彭亨
PAL	莱茵
PAN	普安
PAP	罗马
PAR	帕尔马
PAV	帕维亚
PCD	平茶洞
PCJ	帕卡贾基斯
PCO	帕里纳科查
PCR	波克拉
PDB	帕德博恩
PDG	平定
PDK	普鲁德尼克
PDN	普定
PDU	科契
PEA	佩鲁贾
PEG	勃固
PEM	边巴
PER	佩里戈尔
PES	佩萨罗
PGB	平坝
PGL	布格尔
PGS	邦阿西楠
PHY	帕尧
PIE	皮埃蒙特
PIG	皮纳瓜
PIN	彬牙
PIS	比萨
PJT	普占纳提
PKR	帕索科朗
PLA	帕奥拉哈拉
PLB	巴邻旁
PLE	帕莱
PLK	普沃茨克
PLL	普利禄
PLN	普劳恩
PLT	巴利塔纳
PMB	彭布罗克
PMS	波美萨尼亚
PNA	普尼亚
PNC	蓬奇
PNI	潘奈
PNK	平斯克
POK	波罗茨克
POL	波兰
POO	婆莴
POR	葡萄牙
POS	波伊斯
PPT	帕潘特兰
PRA	普拉托
PRC	佩尔什
PRK	普龙斯克
PRM	彼尔姆
PRO	普罗旺斯
PRT	曼多尔
PSA	八昔
PSK	普斯科夫
PSS	帕绍
PST	皮斯托亚
PSZ	锡门
PTC	碧武里
PTE	帕泰
PTG	皮蒂利亚诺
PTL	普克特兰
PTN	巴特那
PTP	潘特佩克
PTZ	平头著可
PUA	磨
PUR	布让
PYE	平越
QAN	坎霍瓦尔
QCH	高昌
QGS	邛水
QHT	盖哈坦
QHZ	基亚维斯特兰
QIG	基耶戈基
QJG	曲靖
QLL	夸乌克奇奥兰
QLM	克利马内
QOM	库姆
QTA	咖塔
QUA	奎特马兰
QUB	格拉
QUL	库尧
QUN	哈剌兀纳思
QYN	庆远
RAG	拉古萨
RAN	拉诺
RAV	拉文纳
RAW	拉瓦
RBG	里特贝格
RCB	拉齐布日
RCC	罗什舒阿尔
RCH	隶契罗
RDL	里德泽尔
RDY	罗底
REG	雷根斯堡
RET	勒泰勒
RGM	容美
RGS	容山
RIE	里内克
RIG	里加
RIM	里米尼
RJI	拉杰毕普拉
RJR	拉久里
RKL	兰卡利
RKS	拉克塞尔
RND	仁德
RNG	戎
RNK	拉内库赫
RNP	兰普尔
ROS	罗斯
ROT	罗滕堡
ROU	鲁西
RRU	巴鲁
RSH	拉什特
RSO	罗斯托夫
RTB	里策比特尔
RTP	拉特纳普勒
RUP	鲁平
RUT	鲁图尔
RVA	拉芬斯堡
RVB	拉芬斯贝格
RYA	梁赞
RYL	雷利斯克
RZB	拉策堡
RZH	勒热夫
SAA	萨尔布吕肯
SAB	绍森贝格
SAG	实皆
SAL	萨卢佐
SAM	萨摩亚
SAN	桑塞尔
SAO	萨洛纳
SAV	萨伏依
SAW	萨尔韦尔登
SAY	萨约兰
SBG	山都望
SBL	巴利奥尔
SBU	塞林包
SBY	苏拜
SBZ	施韦比施哈尔
SCB	绍恩堡
SCI	希齐纳瓦
SCL	圣克洛德
SCO	苏格兰
SDG	水东
SDR	锡登伦
SDZ	谢拉兹
SER	塞尔维亚
SFA	索法拉
SFC	斯特拉斯堡
SFR	法兰西
SGH	桑哈纳
SGN	索纳尔冈
SGS	上思
SGT	帕迦鲁荣
SGU	桑高
SGZ	桑植
SHB	沙班卡拉
SHG	上林
SHM	舍迈尔
SHP	萨希布‑阿塔
SHR	撒哈拉
SHS	松德斯豪森
SIC	西西里
SIE	锡耶纳
SIG	锡昂
SIT	锡永
SIZ	谢维日
SKE	斯堪尼亚
SKI	沙基
SKK	锡金
SKN	萨瓦金
SKT	苏盖德
SKY	斯塔罗杜布
SLA	锡拉特
SLD	速勒都思
SLI	萨布利
SLM	萨尔姆
SLN	卡伯里
SLP	沙拉巴朗
SLT	索洛图恩
SLV	石勒苏益格
SLZ	萨尔茨堡
SMA	萨姆玛
SMB	三发
SMD	萨姆兰
SME	萨姆茨赫
SMG	思明
SML	三马兰
SMO	斯摩棱斯克
SMS	西姆西尔
SMV	三补缚罗耶尔
SND	信德
SNG	新加坡
SNP	松潘
SNT	森蒂斯帕克
SOH	索赫里
SON	桑海
SOR	卢萨蒂亚
SPB	施普伦贝格
SPG	石屏
SPN	素攀武里
SPO	施蓬海姆
SPY	斯皮拉
SRA	索拉
SRB	萨尔巴达尔
SRC	索罗卡
SRG	萨兰加尔
SRM	那罕
SRU	萨鲁汗
SRV	希尔凡
SSG	双城
SSH	苏克素护
SSI	斯托罗日涅茨
SSK	斯卢茨克
STE	斯德丁
STG	圣加仑
STN	萨普塔格拉姆
STP	圣波勒
STR	桑塔拉
STS	斯塔罗杜布‑谢韦尔斯基
STV	斯塔沃洛‑马尔梅迪
STZ	斯切尔采
SUK	素可泰
SUL	卢帕苏格
SUN	巽他
SUR	苏拉
SUT	苏泰
SWB	萨克森‑维滕贝格
SWD	希维德尼察
SWE	瑞典
SWH	施韦比施哈尔
SWR	什未林
SWT	斯瓦特
SWZ	施瓦茨堡
SXI	水西
SYE	施派尔
SYG	沈阳
SYN	赛恩
SYU	休尼克
SYY	萨基亚
SYZ	施维茨
SZG	师宗
SZH	思州
SZI	舍资
SZL	苏兹达尔
SZU	石柱
TAA	特拉尔潘
TAI	泰罗纳
TAO	亚洛法伊博
TAR	普雷佩查
TAT	图瓦特
TAX	塔希马罗阿
TAZ	洮州
TBA	塔巴萨兰
TCC	特佩科阿奎尔科
TCH	特拉奇科
TCK	特克伦堡
TCP	特拉科潘
TCQ	恩迪西努
TCY	特拉帕科扬
TDE	塔纳德
TDG	缇洞
TDJ	塔杰迪尼
TDO	汤都
TEE	特特拉
TEK	泰凯
TEL	卡什坎
TEM	铁米尔戈伊
TEN	滕科多戈
TEO	特奥蒂特兰
TEP	特帕内卡潘
TER	特尔纳特
TES	切申
TEU	条顿
TEY	泰帕纳
TFK	提拉夫卡
TFL	塔菲拉勒特
TGG	吐根堡
TGH	蒂勒拉
TGR	铜仁
TGT	图古尔特
TGY	唐崖
THD	特鲁亨丁根
THO	托蒙德
THP	托皮亚
THT	特万特佩克
THU	图林根
TIB	吐蕃
TID	蒂多雷
TIR	蒂罗尔
TJP	丹戎武罗
TKR	塔克鲁尔
TKU	特昆库尔
TLA	蒂斯特拉
TLE	特莱姆森
TLL	特泰兰
TLM	图勒姆
TLO	特洛洛瓦潘
TLP	特拉潘
TLQ	特拉劳基特佩克
TLT	特拉科特拉尔潘
TLW	塔利旺
TLX	特拉斯卡兰
TLY	特拉帕科亚
TLZ	特拉尔科萨乌蒂特兰
TMK	塔得迈卡
TMN	耽罗
TMS	特马斯卡尔特佩克
TMT	托马特兰
TNC	特诺奇蒂特兰
TNG	东吁
TNK	潘地亚
TNL	托纳兰
TNN	塔诺
TNP	添平
TNQ	天全
TNT	特伦托
TNX	特纳马斯特兰
TNZ	田州
TOG	图伊汤加
TOH	托奇特佩克
TON	托内尔
TOT	森波瓦兰
TOZ	托斯特兰
TPG	太平
TPL	特波斯科库拉
TPN	特克帕蒂特兰
TPS	托罗佩茨
TPT	特克潘特佩克
TPX	特佩西克
TPY	特佩亚卡克
