country_tag	good	amount
AMG	tools	0.40847
AMG	masonry	0.34096
AMH	livestock	1.90944
AML	gems	2.421
AMP	salt	2.42111
AMR	fruit	7.08993
AMR	livestock	4.72662
AMR	lumber	2.36331
AMR	cotton	2.36331
AMR	sugar	2.36331
AMR	millet	2.36331
AMR	olives	2.36331
AMR	wheat	2.16331
AMT	mercury	2.42104
ANB	fiber_crops	4.44
ANB	lumber	4.44
ANC	fish	4.48
ANC	glass	3.88995
ANC	cloth	3.42435
ANC	pottery	3.42435
ANC	masonry	1.71217
ANC	naval_supplies	1.69548
ANC	weaponry	1.69548
ANC	liquor	1.69548
ANC	paper	1.69548
ANC	furniture	1.69548
ANC	fine_cloth	1.35637
ANC	tools	1.01728
ANC	dyes	0.33908
ANG	lumber	9.2
ANG	wine	9.2
ANG	beeswax	4.6
ANG	paper	2.67418
ANG	beer	1.34707
ANG	weaponry	1.33664
ANG	pottery	1.30562
ANG	tools	0.77555
ANG	leather	0.64683
ANG	masonry	0.64628
ANH	beer	3.27612
ANH	fiber_crops	2.22
ANH	paper	1.74177
ANH	weaponry	1.6221
ANH	cloth	1.6221
ANH	leather	1.6221
ANH	pottery	1.6221
ANH	glass	1.21656
ANH	tools	0.97325
ANH	masonry	0.81105
ANJ	wine	16.1
ANJ	fruit	16.1
ANJ	fiber_crops	9.2
ANJ	legumes	6.9
ANJ	livestock	4.6
ANJ	paper	3.29196
ANJ	pottery	3.06784
ANJ	liquor	1.63992
ANJ	weaponry	1.53518
ANJ	masonry	1.53392
ANJ	cloth	1.51898
ANJ	beer	1.51898
ANJ	furniture	1.51898
ANJ	fine_cloth	1.21516
ANJ	glass	1.13922
ANJ	jewelry	0.91201
ANJ	tools	0.91138
ANM	lumber	0.47675
ANM	iron	0.46808
ANN	horses	2.28181
ANR	livestock	2.2
ANS	millet	6.66
ANS	goods_gold	2.22
ANS	fiber_crops	2.22
ANS	marble	2.22
ANS	wool	2.22
ANS	legumes	2.22
ANT	iron	2.3
ANZ	fruit	5.40351
ANZ	livestock	2.42145
ANZ	wheat	1.29638
AOS	iron	6.9
AOS	livestock	6.9
AOS	lumber	4.6
APD	livestock	4.88
APD	wool	2.44
APD	legumes	2.44
APD	fruit	2.44
APD	wheat	2.34
APR	medicaments	2.24
AQN	wine	32.48
AQN	salt	11.6
AQN	clay	9.28
AQN	livestock	9.28
AQN	beeswax	9.28
AQN	paper	5.81562
AQN	pottery	5.81562
AQN	fish	4.64
AQN	fruit	4.64
AQN	cloth	3.74231
AQN	masonry	2.9078
AQN	beer	2.88852
AQN	sand	2.32
AQN	wheat	2.32
AQN	jewelry	2.23664
AQN	liquor	2.19521
AQN	weaponry	2.055
AQN	glass	2.03331
AQN	furniture	2.03331
AQN	leather	1.79748
AQN	tools	1.63487
AQN	fine_cloth	1.42331
AQN	naval_supplies	0.85379
AQU	lumber	13.2
AQU	livestock	13.2
AQU	copper	6.6
AQU	wheat	6.6
AQU	mercury	6.2
AQU	paper	3.82783
AQU	weaponry	3.82344
AQU	pottery	3.77376
AQU	tools	2.34796
AQU	salt	2.2
AQU	wool	2.2
AQU	fruit	2.2
AQU	beer	1.97888
AQU	masonry	1.86808
AQU	cloth	1.78672
AQU	liquor	1.78672
AQU	leather	1.78672
AQU	glass	1.35014
ARA	wheat	39.76
ARA	paper	26.89917
ARA	pottery	25.22786
ARA	cloth	25.0959
ARA	wine	21.42
ARA	wool	21.42
ARA	beer	18.67224
ARA	lumber	16.66
ARA	salt	14.28
ARA	olives	14.28
ARA	weaponry	13.05375
ARA	masonry	12.88125
ARA	tools	12.48347
ARA	iron	11.9
ARA	alum	11.9
ARA	fish	11.9
ARA	clay	9.52
ARA	silk	9.52
ARA	saffron	9.52
ARA	fruit	9.52
ARA	fiber_crops	7.14
ARA	saltpeter	7.14
ARA	marble	7.14
ARA	livestock	7.14
ARA	beeswax	7.14
ARA	leather	5.54303
ARA	sugar	4.76
ARA	rice	4.76
ARA	fine_cloth	4.69349
ARA	liquor	3.76653
ARA	glass	3.60681
ARA	furniture	3.60463
ARA	horses	2.38
ARA	sand	2.38
ARA	coal	2.38
ARA	silver	2.38
ARA	tin	2.38
ARA	lead	2.38
ARA	fur	2.38
ARA	naval_supplies	2.03332
ARA	books	1.08137
ARA	jewelry	1.01582
ARB	wool	6.9
ARB	lumber	2.3
ARB	wine	2.3
ARB	fur	2.3
ARB	wheat	2.3
ARB	livestock	2.3
ARB	beer	1.37797
ARB	paper	1.37797
ARB	pottery	0.91703
ARB	masonry	0.68898
ARB	weaponry	0.55118
ARD	wild_game	2.22145
ARD	fur	2.22145
ARD	legumes	2.22145
ARG	iron	2.3
ARG	olives	2.3
ARK	rice	26.65333
ARK	beeswax	24.2303
ARK	lumber	16.96121
ARK	fish	16.96121
ARK	sand	12.11515
ARK	beer	4.54452
ARK	leather	4.30032
ARK	tools	4.17532
ARK	incense	2.42303
ARK	pearls	2.42303
ARK	fruit	2.42303
ARK	pottery	2.08816
ARK	weaponry	1.68059
ARK	masonry	1.03383
ARM	wheat	4.76
ARM	iron	2.48
ARR	fiber_crops	4.2
ARR	lumber	4.2
ARR	wild_game	2.4
ARR	fur	2
ARR	fish	2
ARR	livestock	2
ARS	wheat	20.7
ARS	paper	6.77446
ARS	weaponry	5.17967
ARS	pottery	5.10096
ARS	coal	4.6
ARS	copper	4.6
ARS	beer	3.34725
ARS	masonry	2.54285
ARS	lumber	2.3
ARS	tools	2.0739
ARS	jewelry	1.90766
ARS	cloth	1.73424
ARS	liquor	1.73424
ARS	furniture	1.73424
ARS	leather	1.58472
ARS	fine_cloth	1.38738
ARS	glass	1.30067
ART	wool	2.46145
ART	wheat	2.46145
ART	livestock	2.46145
ARU	lumber	19.53992
ARU	fish	12.21245
ARU	clay	4.88498
ARU	millet	4.88498
ARU	fruit	4.88498
ARU	beeswax	4.88498
ARU	wild_game	2.44249
ARU	legumes	2.44249
ARU	livestock	2.44249
ASA	iron	1.041
ASA	tools	0.86902
ASC	wool	4.48
ASC	cloth	3.14545
ASC	glass	2.7786
ASC	pottery	1.4343
ASC	liquor	1.41917
ASC	paper	1.41917
ASC	tools	1.41917
ASC	furniture	1.41917
ASC	fine_cloth	1.27724
ASC	masonry	0.71715
ASC	dyes	0.42574
ASC	weaponry	0.2836
ASD	wheat	6.72
ASD	weaponry	1.95442
ASD	beer	1.95442
ASD	paper	1.95442
ASD	tools	1.95442
ASD	pottery	1.95442
ASD	masonry	0.9772
ASN	lumber	0.81734
ASR	fruit	4.37324
ASR	medicaments	2.18662
ASR	tools	2.13171
ASR	pottery	2.13171
ASR	slaves_goods	2.11084
ASR	masonry	1.06585
ASR	cloth	1.05541
ASR	paper	1.05541
ASR	leather	1.05541
ASR	furniture	1.05541
ASR	fine_cloth	0.84431
ASR	glass	0.79155
ASR	weaponry	0.42216
ASR	books	0.31661
AST	wheat	9.2
ASY	iron	0.49208
ATH	olives	9.2
ATH	silk	6.9
ATH	marble	6.9
ATH	iron	4.6
ATH	wine	4.6
ATH	cloth	2.63373
ATH	dyes	2.47218
ATH	pottery	1.73888
ATH	tools	1.04332
ATH	jewelry	0.94706
ATH	masonry	0.86944
ATH	naval_supplies	0.86097
ATH	paper	0.86097
ATH	furniture	0.86097
ATH	glass	0.64572
ATI	wine	6.72
ATI	weaponry	1.87091
ATI	beer	1.87091
ATI	paper	1.87091
ATI	tools	1.87091
ATI	pottery	1.87091
ATI	masonry	0.93545
ATJ	fish	4.84282
ATJ	iron	2.42141
ATJ	goods_gold	2.42141
ATJ	incense	2.42141
ATJ	rice	2.42141
ATL	stone	2.42097
ATO	livestock	2.42109
ATP	wild_game	2.82093
ATQ	wool	7.38984
ATQ	wine	4.92656
ATQ	slaves_goods	3.62546
ATQ	pottery	2.79745
ATQ	leather	2.69573
ATQ	lumber	2.46328
ATQ	cotton	2.46328
ATQ	wheat	2.46328
ATQ	millet	2.46328
ATQ	legumes	2.46328
ATQ	livestock	2.46328
ATQ	beeswax	2.46328
ATQ	cloth	1.0404
ATQ	furniture	1.0188
ATQ	paper	0.9702
ATQ	weaponry	0.72752
ATQ	glass	0.7155
ATQ	tools	0.69455
ATQ	fine_cloth	0.61487
ATQ	masonry	0.43295
ATQ	books	0.29338
ATT	stone	2.42088
ATZ	saffron	6.84
ATZ	fruit	4.56
ATZ	horses	2.28
ATZ	gems	2.28
ATZ	cotton	2.28
ATZ	livestock	2.28
ATZ	wheat	2.18
AUD	iron	2.34
AUD	livestock	2.34
AUG	lumber	4.4
AUG	fur	2.2
AUG	millet	2.2
AUM	salt	4.6
AUV	lumber	4.6
AUX	wheat	6.9
AVR	wool	0.26945
AXC	incense	2.42102
AXO	legumes	8.46885
AXO	livestock	2.42295
AYA	copper	2.53296
AYA	goods_gold	2.53296
AYA	silver	2.53296
AYA	chili	2.53296
AYD	slaves_goods	7.85159
AYD	cotton	7.45968
AYD	salt	4.97312
AYD	mercury	4.97312
AYD	saffron	4.97312
AYD	wheat	4.97312
AYD	olives	4.97312
AYD	pottery	3.92578
AYD	cloth	2.69828
AYD	silk	2.48656
AYD	wine	2.48656
AYD	fish	2.48656
AYD	tools	2.35545
AYD	weaponry	2.04808
AYD	masonry	1.96287
AYD	jewelry	1.46957
AYD	paper	1.33599
AYD	furniture	1.33599
AYD	glass	1.00199
AYD	books	0.40079
AYO	dyes	2.42086
AZF	wheat	4.4429
AZF	livestock	2.42145
AZF	paper	1.08719
AZF	furniture	1.08719
AZF	leather	1.05901
AZF	glass	0.8154
AZF	tools	0.65231
AZF	weaponry	0.40269
AZF	books	0.32615
AZF	fine_cloth	0.10871
AZL	pearls	2.42099
BAC	cloves	8.38428
BAD	rice	15.12
BAD	elephants	10.08
BAD	ivory	7.56
BAD	sugar	7.56
BAD	livestock	7.56
BAD	beeswax	5.04
BAI	fish	5.62083
BAI	legumes	1.71321
BAM	lumber	4.4
BAM	beer	3.94151
BAM	stone	2.2
BAM	lead	2.2
BAM	wool	2.2
BAM	wheat	2.2
BAM	livestock	2.2
BAM	cloth	2.14309
BAM	glass	1.9516
BAM	paper	1.9516
BAM	leather	1.9516
BAM	pottery	1.9516
BAM	masonry	0.9758
BAM	weaponry	0.85221
BAM	tools	0.53576
BAR	millet	13.8
BAR	clay	6.9
BAR	iron	5
BAR	lumber	4.6
BAR	wheat	4.6
BAR	wild_game	2.7
BAR	fiber_crops	2.3
BAS	wild_game	4.92
BAS	lumber	2.06
BAS	wheat	2.06
BAS	weaponry	0.73505
BBG	lumber	2.22
BBK	goods_gold	5.08286
BBK	millet	5.08286
BBK	livestock	5.08286
BBK	fiber_crops	2.54143
BBK	medicaments	2.54143
BBK	wool	2.54143
BBK	wheat	2.54143
BBK	rice	2.54143
BCH	stone	2.06
BCH	fish	2.06
BCH	millet	2.06
BCH	weaponry	0.514
BDE	wine	6.66
BDE	wheat	6.66
BDS	fruit	14.31732
BDS	silk	4.77244
BDS	sugar	2.38622
BDS	fish	2.38622
BDS	rice	2.38622
BDS	pottery	2.38587
BDS	slaves_goods	2.36263
BDS	wheat	2.28622
BDS	tools	1.3043
BDS	masonry	1.19293
BDS	cloth	1.18131
BDS	paper	1.18131
BDS	leather	1.18131
BDS	furniture	1.18131
BDS	fine_cloth	1.02636
BDS	glass	0.88597
BDS	weaponry	0.47251
BDS	books	0.35439
BEA	copper	0.92087
BEI	cloth	3.91534
BEI	pottery	3.91534
BEI	paper	2.78074
BEI	fish	2.42307
BEI	rice	2.42307
BEI	fruit	2.42307
BEI	fine_cloth	2.3492
BEI	beer	2.09151
BEI	masonry	1.95767
BEI	leather	1.93767
BEI	furniture	1.93767
BEI	weaponry	0.77506
BEI	tools	0.48441
BEN	wild_game	8.82294
BEN	cotton	5.08196
BEN	livestock	5.08196
BEN	slaves_goods	4.05286
BEN	lumber	2.54098
BEN	medicaments	2.54098
BEN	fish	2.54098
BEN	millet	2.54098
BEN	legumes	2.54098
BEN	jewelry	2.22907
BEN	cloth	2.22643
BEN	furniture	2.18027
BEN	paper	2.07643
BEN	pottery	2.06676
BEN	masonry	1.90225
BEN	fine_cloth	1.21585
BEN	leather	1.17068
BEN	books	0.62792
BES	fruit	2.42109
BFN	livestock	1.72911
BFN	wild_game	0.57191
BFR	fruit	6.8484
BFR	slaves_goods	2.79033
BFR	wheat	2.2828
BFR	leather	1.40024
BFR	tools	1.39516
BFR	pottery	1.39516
BFR	tar	1.27606
BFR	masonry	0.69758
BFR	weaponry	0.55806
BGG	beeswax	0.85703
BGK	legumes	30.51924
BGK	wheat	15.25962
BGK	clay	12.71635
BGK	iron	12.71635
BGK	gems	10.17308
BGK	elephants	10.17308
BGK	rice	10.17308
BGK	marble	7.62981
BGL	millet	22.68
BGL	lumber	10.08
BGN	livestock	9.2
BGR	elephants	25.2
BGR	millet	10.08
BGR	ivory	4.13358
BHA	cotton	12.71655
BHA	wool	12.71655
BHD	iron	10.08
BHL	millet	2.22
BHM	rice	2.421
BHP	cotton	33.06043
BHP	silk	17.80177
BHP	medicaments	17.80177
BHP	fruit	17.80177
BHP	clay	15.25866
BHP	gems	15.25866
BHP	fish	15.25866
BHP	saltpeter	10.17244
BHP	iron	7.62933
BHP	incense	7.62933
BHT	lumber	2.22333
BHT	legumes	2.22333
BHT	olives	2.22333
BHT	tar	1.0469
BIA	wild_game	2.88
BIA	clay	2.48
BIA	iron	2.48
BIA	stone	2.48
BIA	fiber_crops	2.48
BIA	lumber	2.48
BIA	salt	2.48
BIA	wine	2.48
BIA	wheat	2.48
BIA	beeswax	2.48
BIA	tools	0.99123
BIA	liquor	0.98213
BIA	paper	0.92475
BIA	weaponry	0.92367
BIA	beer	0.91899
BIA	glass	0.91201
BIA	pottery	0.91167
BIA	cloth	0.90258
BIA	leather	0.90258
BIA	masonry	0.45128
BIB	cotton	2.12
BID	beer	3.26587
BID	pottery	3.03187
BID	fiber_crops	2
BID	lumber	2
BID	millet	2
BID	beeswax	2
BID	paper	1.63224
BID	wine	1.61602
BID	furniture	1.59858
BID	masonry	1.50098
BID	cloth	1.48639
BID	liquor	1.48639
BID	leather	1.48639
BID	tools	1.48639
BID	glass	1.1232
BID	weaponry	0.59836
BIM	fish	2.42102
BIN	clay	2.25215
BIN	livestock	2.25215
BIO	wheat	4
BIO	fiber_crops	2
BIO	fish	2
BIO	tar	1.74956
BIR	millet	2.42503
BIT	wool	2.25328
BIT	livestock	2.25328
BJG	tea	0.24657
BKZ	iron	4.8934
BKZ	fruit	2.4467
BKZ	fish	1.68055
BLA	wild_game	4.8429
BLA	livestock	4.8429
BLA	fruit	4.8017
BLA	sugar	2.42145
BLA	legumes	2.42145
BLA	wool	1.59732
BLB	wild_game	2.6
BLD	livestock	7.50432
BLD	horses	2.50144
BLD	fiber_crops	2.50144
BLD	lumber	2.50144
BLD	wool	2.50144
BLD	fruit	2.50144
BLD	wheat	2.40144
BLE	fiber_crops	2.54143
BLE	millet	2.54143
BLE	livestock	2.54143
BLG	medicaments	8.96
BLG	silk	6.72
BLG	wool	4.48
BLG	glass	3.90859
BLG	cloth	3.77594
BLG	pottery	3.4408
BLG	masonry	1.7204
BLG	weaponry	1.70364
BLG	liquor	1.70364
BLG	paper	1.70364
BLG	furniture	1.70364
BLG	fine_cloth	1.48019
BLG	tools	1.02217
BLG	dyes	0.34071
BLI	lumber	9.6
BLI	pearls	9.6
BLI	fish	9.6
BLL	lumber	2.3
BLM	wool	2.08
BLN	goods_gold	2.42293
BLN	legumes	2.42293
BLN	beeswax	2.42293
BLO	lumber	15.01842
BLO	millet	9.74194
BLO	medicaments	7.50921
BLO	wild_game	5.80614
BLO	fiber_crops	5.00614
BLO	clay	2.50307
BLO	stone	2.50307
BLO	fur	2.50307
BLO	fish	2.50307
BLO	legumes	2.50307
BLO	livestock	2.50307
BLS	wheat	11.5
BLS	millet	6.9
BLS	iron	4.6
BLS	wine	4.6
BLS	weaponry	3.5003
BLS	paper	3.5003
BLS	beer	1.81426
BLS	leather	1.7331
BLS	pottery	1.7331
BLS	tools	1.03985
BLS	masonry	0.86654
BMB	legumes	2.54097
BMK	saffron	2.39022
BMP	livestock	4.55541
BMP	wool	4.54864
BMP	fruit	3.62281
BMP	clay	2.4429
BMP	sand	2.4429
BMP	wild_game	2.4429
BMP	medicaments	2.42584
BMR	livestock	18.5604
BMR	rice	15.24678
BMR	cotton	7.62339
BMR	millet	5.85983
BMR	leather	3.20881
BMR	pottery	3.18703
BMR	tools	3.05036
BMR	clay	2.54113
BMR	dyes	2.54113
BMR	ivory	2.54113
BMR	fruit	2.54113
BMR	wheat	2.34113
BMR	slaves_goods	2.08586
BMR	masonry	1.60511
BMR	weaponry	1.22012
BMR	fine_cloth	1.08164
BMS	livestock	2.2
BNA	rice	10.16464
BNA	iron	7.62348
BNB	livestock	4.64
BNB	medicaments	2.32
BND	cotton	63
BND	saltpeter	30.24
BND	clay	17.64
BND	wheat	12.6
BND	stone	5.04
BNE	millet	2.423
BNL	fruit	23.18823
BNL	wheat	12.27008
BNL	livestock	12.10725
BNL	salt	4.8429
BNL	horses	2.42145
BNL	fiber_crops	2.42145
BNL	wool	2.42145
BNT	marble	4.64
BOD	livestock	2.3
BOH	wheat	31.98
BOH	lumber	24.6
BOH	stone	22.14
BOH	livestock	22.14
BOH	wild_game	20.02
BOH	millet	19.68
BOH	beer	17.76507
BOH	iron	17.22
BOH	copper	17.22
BOH	wool	17.22
BOH	silver	15.76
BOH	medicaments	14.76
BOH	goods_gold	12.3
BOH	fur	12.3
BOH	legumes	12.3
BOH	horses	9.84
BOH	coal	9.84
BOH	gems	9.84
BOH	wine	9.84
BOH	marble	9.84
BOH	fish	9.84
BOH	weaponry	9.58007
BOH	pottery	9.53355
BOH	paper	7.6381
BOH	cloth	7.425
BOH	sand	7.38
BOH	beeswax	7.38
BOH	tools	5.80292
BOH	glass	5.58851
BOH	leather	5.50857
BOH	tin	4.92
BOH	fiber_crops	4.92
BOH	masonry	4.74914
BOH	jewelry	2.23668
BOH	liquor	2.03335
BOH	furniture	2.03335
BOH	books	0.61
BOH	dyes	0.40667
BOL	fish	4.84208
BON	livestock	4.84242
BON	leather	3.85144
BON	pottery	3.66081
BON	fine_cloth	2.19645
BON	masonry	1.83039
BON	tools	0.42375
BON	slaves_goods	0.4176
BOR	cotton	7.26441
BOR	livestock	4.84294
BOR	fruit	2.42147
BOS	coal	4.6
BOS	copper	4.6
BOS	wool	4.6
BOS	wheat	4.6
BOS	livestock	4.6
BOS	fruit	4.6
BOS	silver	2.8
BOS	iron	2.3
BOS	lead	2.3
BOS	fiber_crops	2.3
BOS	salt	2.3
BOS	medicaments	2.3
BOS	wine	2.3
BOS	millet	2.3
BOS	legumes	2.3
BOS	olives	2.3
BOU	wool	13.8
BOU	clay	6.9
BOU	livestock	6.9
BOU	horses	4.6
BOU	iron	4.6
BOU	medicaments	4.6
BOU	silver	2.3
BOW	fish	2.42295
BPR	incense	9.6
BPR	silk	7.2
BPR	pottery	5.03805
BPR	rice	4.8
BPR	paper	3.32698
BPR	tools	3.32698
BPR	furniture	3.32698
BPR	fine_cloth	2.88355
BPR	leather	2.53354
BPR	masonry	2.51902
BPR	weaponry	2.0152
BPR	jewelry	1.81238
BPR	liquor	1.78992
BPR	wine	1.77888
BPR	beer	1.25305
BPR	glass	1.23572
BPR	books	0.49428
BPR	cloth	0.00002
BQA	livestock	7.15986
BQA	fruit	7.15986
BQA	wool	4.77324
BQA	horses	2.38662
BQA	lumber	2.38662
BQA	wheat	2.38662
BQA	millet	2.38662
BQA	olives	2.38662
BQL	livestock	4.89424
BQL	millet	2.44712
BRA	livestock	11.1
BRA	wild_game	10.48
BRA	lumber	8.88
BRA	wool	8.88
BRA	legumes	8.88
BRA	fiber_crops	6.66
BRA	millet	6.66
BRA	fur	4.44
BRA	fish	4.44
BRA	wheat	4.44
BRA	cloth	3.23184
BRA	paper	3.15948
BRA	pottery	2.9424
BRA	tools	2.36398
BRA	fruit	2.22
BRA	leather	2.21998
BRA	weaponry	2.04458
BRA	beer	1.80071
BRA	glass	1.66498
BRA	masonry	1.47119
BRA	tar	1.22631
BRB	wheat	19.98
BRB	jewelry	8.56739
BRB	pottery	8.09879
BRB	paper	7.92104
BRB	weaponry	6.84765
BRB	clay	6.66
BRB	wool	6.66
BRB	livestock	6.66
BRB	cloth	6.05039
BRB	beer	5.00079
BRB	tools	4.67403
BRB	sand	4.44
BRB	fiber_crops	4.44
BRB	millet	4.44
BRB	legumes	4.44
BRB	masonry	4.07572
BRB	fine_cloth	2.46615
BRB	fish	2.22
BRB	beeswax	2.22
BRC	legumes	2.2
BRE	fruit	6.6
BRE	millet	4.4
BRE	sand	2.2
BRE	salt	2.2
BRE	legumes	2.2
BRE	livestock	2.2
BRG	horses	4.44
BRG	clay	4.44
BRG	beer	4.00078
BRG	lumber	2.22
BRG	livestock	2.22
BRG	weaponry	1.9809
BRG	glass	1.9809
BRG	cloth	1.9809
BRG	paper	1.9809
BRG	leather	1.9809
BRG	pottery	1.9809
BRG	tools	1.18853
BRG	masonry	0.99044
BRI	wheat	28.44
BRI	livestock	28.44
BRI	legumes	18.96
BRI	horses	16.59
BRI	iron	16.59
BRI	fiber_crops	16.59
BRI	salt	14.22
BRI	beeswax	11.85
BRI	clay	9.48
BRI	lead	9.48
BRI	fish	7.71
BRI	sand	7.11
BRI	stone	7.11
BRI	tin	7.11
BRI	wine	7.11
BRI	paper	5.70029
BRI	weaponry	2.75559
BRI	beer	2.7265
BRI	pottery	2.7265
BRI	leather	1.74999
BRI	tools	1.63589
BRI	masonry	1.36324
BRI	tar	1.28437
BRL	wild_game	8.52
BRL	horses	5.28
BRL	wheat	4.68
BRL	tin	2.44
BRL	fiber_crops	2.44
BRL	cotton	2.44
BRL	millet	2.44
BRL	legumes	2.44
BRL	livestock	2.44
BRL	fruit	2.44
BRL	beeswax	2.44
BRM	wool	2.08
BRM	cloth	1.93497
BRM	beer	1.78878
BRM	paper	1.77266
BRM	leather	1.77266
BRM	tools	1.77266
BRM	pottery	1.77266
BRM	glass	1.32949
BRM	masonry	0.88632
BRM	weaponry	0.70905
BRN	stone	2.08
BRN	wheat	2.08
BRN	glass	1.18932
BRN	cloth	1.18932
BRN	leather	1.18932
BRN	tools	1.18932
BRN	paper	0.59472
BRN	pottery	0.59461
BRN	masonry	0.2973
BRO	iron	2.34
BRR	wool	13.8
BRR	lumber	4.6
BRU	fiber_crops	11.1
BRU	livestock	11.1
BRU	millet	6.66
BRU	horses	4.44
BRU	fruit	4.44
BRU	pottery	3.17275
BRU	paper	3.14633
BRU	cloth	3.03926
BRU	leather	2.31417
BRU	clay	2.22
BRU	salt	2.22
BRU	tools	1.9507
BRU	glass	1.91719
BRU	masonry	1.5977
BRU	beer	1.46685
BRU	weaponry	1.21568
BRY	livestock	9.92
BRY	lumber	4.96
BRY	fiber_crops	2.48
BRY	wool	2.48
BRY	legumes	2.48
BRZ	stone	2.4
BRZ	wheat	2.4
BRZ	fruit	2.4
BSC	paper	2.36777
BSC	livestock	2.12
BSC	weaponry	1.18379
BSC	beer	1.17288
BSC	pottery	1.17288
BSC	tools	0.70372
BSC	masonry	0.58643
