location_name	total_population	total_urban_pop
al_aflaj	10.388000	0.036000
al_ahmar	1.464000	0.008000
al_ahsa	85.431000	4.601000
al_ais	2.943000	0.016000
al_ajfar	3.592000	0.010000
al_amlah	10.401000	0.000000
al_amwah	7.058000	0.009000
al_anbar	25.392000	0.020000
al_arah	43.105000	0.060000
al_ayn	1.943000	0.019000
al_ayn_khaybar	2.980000	0.009000
al_aythamah	4.997000	0.010000
al_azlam	2.022000	0.019000
al_bab	35.770000	0.039000
al_bad	2.569000	0.013000
al_baharah	4.784000	0.010000
al_bayda	14.972000	0.011000
al_bayda_yemen	25.261000	0.033000
al_bidda	2.200000	0.004000
al_bijadiyah	10.156000	0.010000
al_bleiteh	2.405000	0.023000
al_burud	10.497000	0.010000
al_dhaid	2.424000	0.004000
al_farah_ula	2.904000	0.028000
al_fuqarah	13.645000	0.010000
al_furaish	2.217000	0.012000
al_ghat	14.984000	0.010000
al_ghazalah	1.634000	0.010000
al_ghrabah	5.466000	0.010000
al_ghulayfiqah	64.117000	0.088000
al_haddar	7.835000	0.026000
al_hadhah	4.496000	0.026000
al_hajr	54.565000	0.031000
al_hamad	3.823000	0.010000
al_haqu	0.923000	0.000000
al_harjah	5.988000	0.007000
al_harrah	5.131000	0.010000
al_hawra	1.816000	0.008000
al_hegrieah	2.787000	0.014000
al_hinakiyah	6.095000	0.031000
al_hirda	79.722000	0.111000
al_hisu	2.612000	0.010000
al_hufayr	2.140000	0.010000
al_hufayrah	7.753000	0.010000
al_hunayy	2.223000	0.010000
al_husayniyah	3.172000	0.000000
al_huwaila	3.318000	0.004000
al_huwayyit	1.361000	0.010000
al_jar	14.195000	0.087000
al_jawf	1.641000	0.008000
al_jeblien	60.652000	0.005000
al_jubayl	20.353000	0.010000
al_juhfah	16.201000	0.098000
al_jumum	13.582000	0.082000
al_kadwa	18.181000	0.000000
al_kamil_wal_wafi	3.629000	0.008000
al_khaburah	15.407000	0.007000
al_khadra_ALG	15.992000	0.000000
al_khanbarah	4.180000	0.020000
al_kharabah	15.799000	0.096000
al_khosuf	12.715000	0.016000
al_khuimat	7.475000	0.000000
al_khums	18.540000	0.004000
al_khuraybah	14.276000	0.017000
al_kuwayra	8.990000	0.000000
al_labbah	2.272000	0.010000
al_laghfiyyah	5.460000	0.010000
al_lith	28.013000	0.172000
al_luhayyah	78.962000	0.109000
al_madar	19.812000	0.010000
al_maddah	7.376000	0.009000
al_mafalis	51.384000	0.070000
al_maghib	12.407000	0.010000
al_mahani	11.102000	0.067000
al_mahjal	5.055000	0.000000
al_majazah	14.192000	0.049000
al_majmaah	28.443000	0.010000
al_mamtir	11.472000	0.008000
al_mandab	34.672000	0.047000
al_manjur	1.512000	0.007000
al_maramiyah	1.655000	0.009000
al_mardamah	3.254000	0.010000
al_marwa	2.792000	0.015000
al_mashqar	8.012000	0.004000
al_maslum	4.447000	0.010000
al_matamma	35.833000	0.003000
al_mazamma	23.382000	0.024000
al_mima	94.551000	0.000000
al_mithnab	12.170000	0.010000
al_muazzam	3.990000	0.018000
al_mukalla	20.254000	0.017000
al_mukha	89.362000	0.117000
al_mundassah	3.233000	0.010000
al_muthainiyah	11.956000	0.073000
al_muwaylih	3.181000	0.020000
al_qaiyah	11.519000	0.010000
al_qara	8.819000	0.008000
al_qatif	13.955000	0.042000
al_qatr	18.982000	0.006000
al_qunfudhah	36.441000	0.000000
al_quway	18.791000	0.031000
al_quwayrah	4.347000	0.000000
al_rusayrisi	47.254000	0.000000
al_shihr	28.977000	0.015000
al_shuqayq	11.830000	0.000000
al_sinn	14.950000	0.005000
al_sirrayn	32.260000	0.005000
al_suman	3.407000	0.010000
al_thamad	2.443000	0.013000
al_thulayma	9.281000	0.010000
al_tib	12.519000	0.006000
al_tiz	2.825000	0.007000
al_udayb	10.698000	0.014000
al_udayd	1.432000	0.004000
al_udhaim	2.454000	0.010000
al_ukhaydir	5.224000	0.030000
al_ula	5.788000	0.057000
al_uqayr	23.487000	0.010000
al_uyayna	2.613000	0.010000
al_wajh	2.591000	0.025000
al_waqbi	3.052000	0.010000
al_yamamah	61.756000	0.218000
alagadyan	0.157000	0.000000
alaiye	14.216000	0.021000
alakol	1.685000	0.000000
alakurti	0.250000	0.000000
alamamas	2.412000	0.000000
alamance	0.701000	0.000000
alamarvdasht	4.530000	0.012000
alamganj	123.281000	0.005000
alapaha	1.956000	0.015000
alapahoochee	1.458000	0.016000
alapayevsk	4.704000	0.000000
alarcon	15.432000	0.008000
alasehir	17.506000	0.010000
alashakhan	2.008000	0.000000
alat	20.512000	0.001000
alatyr	6.340000	0.075000
alausi	55.656000	0.000000
alaverdi	18.989000	0.006000
alawa	0.846000	0.000000
alays	87.131000	0.013000
alazapa	1.562000	0.000000
alba	15.890000	0.027000
alba_de_aliste	20.110000	0.008000
alba_de_tormes	31.015000	0.016000
alba_iulia	23.143000	0.009000
albacete	10.403000	0.008000
albarracin	5.477000	0.008000
albenga	30.137000	0.000000
albi	55.161000	2.099000
albo	5.934000	0.007000
albreda	15.118000	0.008000
albuquerque	10.861000	0.008000
alcacer_do_sal	18.156000	0.008000
alcala_de_henares	22.721000	1.938000
alcanices	26.187000	0.008000
alcaniz	8.673000	0.016000
alcantara	7.484000	0.008000
alcaraz	12.657000	0.008000
alcazar_de_san_juan	17.915000	0.008000
alchan	3.000000	0.004000
alcobaca	26.244000	0.008000
alcoy	13.677000	0.008000
aldan	0.157000	0.000000
alencon	53.120000	0.018000
aleppo	71.800000	4.074000
aleria	4.130000	0.000000
ales	4.263000	0.009000
aleshtar	5.607000	0.007000
alessandria	52.176000	1.924000
alexandria	227.437000	4.987000
alexandrov_gay	2.278000	0.000000
alexandrovskaya_sloboda	9.796000	0.004000
alexandrovskoye	2.579000	0.000000
alexeyevka	8.068000	0.052000
alexeyevskaya	4.480000	0.029000
alfambra	7.610000	0.008000
alfeld	24.726000	0.009000
alfenas	1.749000	0.000000
alferovskaya	1.221000	0.013000
alfta	1.009000	0.009000
algeciras	7.225000	0.008000
alghero	6.456000	0.000000
algiers	35.298000	4.088000
alhambra_location	13.035000	0.008000
ali_sabieh	5.079000	0.007000
aliabad_katul	16.255000	0.007000
alicante	9.717000	0.008000
aligurdaz	6.179000	0.007000
alii	1.575000	0.000000
alikovo	3.991000	0.000000
alinchak	0.210000	0.000000
alirajpur	47.955000	0.000000
alishang	34.784000	0.010000
aliskerovo	0.157000	0.000000
alkalawa	53.422000	4.563000
alkhan_kala	6.660000	0.012000
alkmaar	24.242000	0.004000
allagash	0.280000	0.000000
allakaket	0.210000	0.000000
allegheny	1.122000	0.000000
allegre	29.103000	0.000000
allingsas	7.793000	0.008000
allpas	35.677000	2.552000
alluyes	19.666000	0.009000
almaden	11.780000	0.008000
almalik_chach	35.489000	0.000000
almaliq	34.060000	0.024000
almanzora	14.002000	0.008000
almaty	47.857000	0.690000
almazan	20.007000	0.008000
almenara	2.273000	0.000000
almenevo	1.814000	0.000000
almeria	20.548000	2.239000
almetyevsk	11.976000	0.000000
almodovar_del_campo	18.015000	0.008000
almonaster_la_real	7.266000	0.008000
almora	19.114000	0.007000
almudevar	2.552000	0.008000
almunecar	10.306000	0.008000
alnwick	21.796000	0.000000
alpo_wa	0.280000	0.000000
alpowna	0.701000	0.000000
alpu	2.439000	0.000000
alsfeld	16.022000	0.008000
alsigontekw	0.106000	0.000000
alstahaug	0.755000	0.017000
alta	0.097000	0.002000
altafjord	0.030000	0.000000
altaikha	0.157000	0.000000
altamaha	5.065000	0.015000
altamura	17.759000	1.888000
altan_gadas	4.712000	0.004000
altayn_ovor_gobi	4.129000	0.004000
altayskoye	1.262000	0.010000
altdorf	9.132000	0.020000
altena	28.442000	0.007000
altenburg	24.432000	0.026000
altenkirchen	25.584000	0.042000
altinekin	5.901000	0.005000
altintas	14.715000	0.072000
altit	5.772000	0.111000
altun_ha	0.407000	0.000000
altun_kupri	14.991000	0.000000
altyntobe	14.468000	0.001000
altyshevo	7.154000	0.086000
alubera	0.521000	0.000000
aluksne	7.806000	0.010000
alula	4.542000	0.007000
alura	0.285000	0.000000
aluri	0.247000	0.000000
aluutashe	0.420000	0.000000
alvalade	9.533000	0.008000
alvastra	7.184000	0.205000
alvdal	0.261000	0.004000
alvito	11.177000	0.008000
alvsby	0.097000	0.000000
alwar	209.692000	0.000000
alxa	2.679000	0.004000
aly_kyuyel	0.157000	0.000000
alyanbulag	11.458000	0.004000
alymdya	0.157000	0.000000
alysardakh	0.157000	0.000000
alytus	11.339000	0.009000
am_dam	14.543000	0.017000
am_djemena	14.138000	0.000000
amabe	23.108000	0.005000
amadiya	1.899000	0.009000
amaga	12.553000	0.000000
amahami	0.841000	0.000000
amaigbo	34.509000	0.016000
amaimon	24.268000	0.000000
amakusa	21.905000	0.005000
amal	3.984000	0.008000
amalik	0.210000	0.000000
amalyk	0.157000	0.000000
amami_ooshima	22.827000	0.000000
amangu	0.336000	0.000000
amaravati	49.710000	0.007000
amarbayas_galang	8.326000	0.004000
amarendrapura	34.595000	0.007000
amargosa	0.701000	0.000000
amarkantak	31.850000	0.022000
amasipukwek	0.106000	0.000000
amasra	15.711000	0.000000
amassing	1.466000	0.024000
amasya	37.864000	3.863000
amaticoztitlan	35.233000	0.048000
amaxacotlan	6.366000	0.017000
amaye	1.600000	0.015000
amazar	2.370000	0.004000
ambaca	6.930000	0.000000
ambae	1.184000	0.000000
ambagarh	59.818000	0.037000
ambalanjakomby	4.450000	0.000000
ambam	9.351000	0.000000
ambarchik	0.157000	0.000000
ambat	7.986000	0.008000
ambatomanoina	7.545000	0.003000
ambatondrazaka	7.906000	0.000000
amber_loc	102.416000	10.316000
amberd	8.728000	0.004000
amberg	18.527000	0.011000
ambikapur	42.988000	0.038000
ambilobe	7.297000	0.000000
amblu_kai	0.701000	0.000000
ambohidray	2.700000	0.000000
amboim	6.512000	0.000000
amboise	22.328000	0.000000
ambolosy	5.742000	0.000000
ambositra	7.457000	0.003000
ambovontany	5.416000	0.003000
ambraw	4.710000	0.000000
ambriz	2.849000	0.000000
ambrizete	3.678000	0.000000
ambrym	1.560000	0.000000
ambuila	2.901000	0.001000
amchok	2.190000	0.004000
amdoukal	9.905000	0.000000
ameca	2.472000	0.048000
amedichi	0.157000	0.000000
amergo	38.349000	0.009000
amersfoort	30.996000	0.009000
amesbury	33.934000	0.000000
ameskour	21.894000	0.006000
amet	76.633000	0.012000
amga	0.157000	0.000000
amguema	0.157000	0.000000
amgun	2.239000	0.004000
ami	7.642000	0.004000
amiens	47.542000	2.014000
amintonck	3.254000	0.000000
amiq	0.014000	0.000000
amis	14.360000	0.000000
amisk	0.106000	0.000000
amisk_sakahikan	0.106000	0.000000
amisk_sipi	0.106000	0.000000
amiskwaciwiy	0.106000	0.000000
amkoe	1.756000	0.000000
amli	1.414000	0.008000
amman	35.493000	0.006000
ammonoosuc	2.132000	0.000000
ammoscongon	0.580000	0.000000
amnye_machen	0.809000	0.008000
amol	11.966000	0.024000
amol_turkmenabad	8.844000	0.001000
amollan	9.818000	0.046000
amoltepec	20.851000	0.018000
amomegosode	6.401000	0.000000
amonokoa	4.400000	0.016000
amora_gadal	9.160000	0.008000
amorgos	1.882000	0.000000
amoskeag	2.394000	0.000000
amot	0.181000	0.002000
amoyeli_gunahita	1.458000	0.016000
amoyescheck	1.458000	0.016000
ampotaka	4.095000	0.000000
amqui	0.106000	0.000000
amrabad	70.614000	0.000000
amravati	106.497000	0.000000
amreli	122.693000	0.017000
amsterdam	26.542000	1.081000
amstetten	28.195000	0.011000
amud	7.981000	0.007000
amulaca	25.835000	0.081000
amundava	2.783000	0.000000
amurang	4.634000	0.009000
amyint	7.525000	0.004000
an_nabhaniyah	6.950000	0.010000
an_nakhil	6.080000	0.010000
an_nasifah	13.896000	0.010000
an_nibaj	10.007000	0.010000
an_nil	17.270000	0.004000
an_nuhaytiyyah	1.720000	0.010000
an_nuqrah	2.664000	0.010000
anaa	3.185000	0.005000
anabar	0.157000	0.000000
anace	2.490000	0.000000
anacopia	9.238000	0.006000
anacostia	3.815000	0.000000
anagance	0.106000	0.000000
anagni	22.465000	1.995000
anah	7.734000	0.005000
anais	8.902000	0.000000
anajas	10.777000	0.000000
anak	13.706000	0.009000
anaklia	21.750000	0.006000
anakovik	0.210000	0.000000
anambas_islands	0.289000	0.000000
anambe	2.302000	0.000000
anamur	12.709000	0.072000
anana	12.300000	0.008000
ananatuba	4.390000	0.000000
ananiv	3.892000	0.008000
anantapur	70.614000	0.000000
anar	2.166000	0.007000
anarak	1.532000	0.007000
anardara	2.844000	0.010000
anasagunticook	0.841000	0.000000
anavarza	29.597000	0.009000
anaya	2.171000	0.000000
anbang	34.102000	0.007000
anbian	40.100000	0.004000
anchau	19.077000	0.016000
anchun	1.719000	0.004000
ancona	33.885000	5.108000
ancuase	7.133000	0.000000
ancud	5.106000	0.000000
andaki	6.938000	0.000000
andar	140.254000	0.000000
andarab	2.731000	0.001000
andarai	9.803000	0.000000
andastoerrhonon	1.122000	0.000000
andasy_merine	4.957000	0.003000
andawaohie	0.730000	0.000000
andaymarca	28.258000	0.000000
ande	30.764000	0.004000
andechs	33.702000	0.016000
andegerebenha	0.586000	0.000000
anderson	0.210000	0.000000
andevoranto	5.853000	0.022000
andijan	49.749000	0.001000
andika	7.341000	0.007000
andimeshk	8.937000	0.007000
anding	23.796000	0.004000
anding_mashan	14.924000	0.003000
anding_suzhou	1.089000	0.004000
andkhoy	12.540000	0.010000
andolo	2.458000	0.007000
andomsky_pogost	0.994000	0.000000
andong	59.714000	1.776000
andong_huaian	61.161000	0.004000
andorra_la_vella	4.974000	0.032000
andranoboka	4.484000	0.000000
andranomavo	7.405000	0.000000
andranosoa	6.354000	0.000000
andravida	7.863000	0.024000
andreapol	10.175000	0.005000
andria	27.218000	1.641000
andritsaina	6.361000	0.008000
andros	2.046000	0.000000
androscoggin	1.656000	0.000000
andryushkino	0.157000	0.000000
andujar	11.299000	0.008000
anecho	16.765000	0.000000
anegada	0.260000	0.000000
anegandi	73.676000	0.007000
aneityum	0.102000	0.000000
anelo	3.961000	0.000000
anew	9.285000	0.007000
anfa	22.509000	0.009000
anfu_jian	227.065000	0.004000
anfu_li	53.823000	0.004000
angadippuram	53.880000	0.000000
angamacutiro	41.545000	0.018000
angastaco	1.517000	0.000000
angelokastron	16.872000	0.008000
angermunde	21.206000	0.003000
angers	56.402000	4.570000
anggamudi	0.117000	0.000000
angkor	40.941000	4.574000
angkor_borei	106.744000	0.002000
angkor_knong	136.959000	0.028000
anglesey	16.221000	0.087000
angoche	8.854000	0.000000
angoram	11.046000	0.000000
angouleme	44.255000	2.395000
angoya	0.157000	0.000000
angualasto	2.472000	0.000000
angul	36.611000	0.006000
anguthimri	0.103000	0.000000
angwa	7.485000	0.000000
anhandui	0.650000	0.000000
anhayca	1.740000	0.015000
anhialo	4.743000	0.009000
anhua	29.133000	0.004000
anhua_anhua	35.995000	0.004000
anhua_huanjiang	6.338000	0.004000
ani	15.946000	0.016000
ani_south	3.466000	0.000000
aniakchak	0.210000	0.000000
anigiduwagi	0.982000	0.000000
anilco	2.047000	0.044000
anipitapiskow	0.106000	0.000000
aniyutsi	4.065000	0.015000
anji	468.285000	0.004000
anju_nurgan	1.676000	0.004000
anka	18.332000	0.016000
ankara	39.937000	3.885000
ankavandra	3.767000	0.000000
ankazobe	5.344000	0.003000
anklam	16.198000	0.016000
ankober	18.375000	0.028000
ankoro	11.114000	0.000000
anlong	7.807000	0.004000
anlu	11.804000	0.004000
ann	15.218000	0.009000
anna_russia	5.496000	0.000000
annaba	34.446000	2.968000
annaburg	21.899000	0.000000
annan	3.027000	0.004000
annecy	26.888000	0.014000
anning	4.387000	0.004000
anoixi	1.560000	0.000000
anomansah	15.647000	0.016000
anping	46.602000	0.004000
anqiu	183.813000	0.004000
anren	22.286000	0.004000
anren_raozhou	69.896000	0.004000
ansai	27.974000	0.004000
ansbach	12.962000	0.037000
anseba	14.539000	0.000000
anso	7.568000	0.008000
ansongo	5.197000	0.017000
ansu	26.707000	0.004000
antabamba	29.480000	0.000000
antalaha	6.273000	0.003000
antalo	9.596000	0.008000
antalya	21.419000	0.022000
antananarivo	10.210000	0.022000
antequera	22.412000	0.008000
antetikala	1.209000	0.000000
anticosti	0.106000	0.000000
antietam	1.062000	0.000000
antigonish	0.106000	0.000000
antinir_pilquinan	3.240000	0.000000
antioch	47.570000	3.919000
antofagasta	6.795000	0.000000
antofalla	1.540000	0.000000
antsiroamandidy	3.215000	0.003000
antsohihy	4.155000	0.000000
antwerp	42.763000	2.000000
anula	0.229000	0.000000
anumagallu	91.800000	0.000000
anundsjo	0.802000	0.018000
anunsu	1.301000	0.000000
anupgarh	78.499000	0.017000
anuradhapura	23.724000	0.015000
anxi	143.365000	0.004000
anxi_dingzhou	70.477000	0.004000
anxiang	27.037000	0.004000
anyang	59.549000	6.227000
anyi	30.181000	0.004000
anyksciai	8.663000	0.014000
anyuan	3.126000	0.004000
anyuan_dingnan	26.465000	0.004000
anyuan_lianzhou	13.021000	0.004000
anyue	11.397000	0.004000
